iter	Passed	Remaining
0	1	102
1	2	102
2	3	101
3	3	93
4	5	99
5	6	96
6	7	96
7	8	97
8	9	97
9	11	101
10	12	103
11	14	103
12	15	101
13	16	98
14	16	96
15	17	93
16	18	91
17	19	89
18	20	87
19	21	85
20	22	82
21	22	80
22	23	79
23	24	77
24	25	76
25	26	75
26	27	74
27	28	73
28	29	72
29	30	71
30	31	69
31	31	67
32	32	66
33	33	64
34	34	63
35	34	62
36	35	60
37	36	59
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	50
44	40	49
45	41	48
46	42	47
47	43	46
48	43	45
49	44	44
50	45	43
51	45	42
52	46	41
53	47	40
54	47	39
55	48	38
56	49	37
57	50	36
58	50	35
59	51	34
60	52	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	28
66	56	27
67	57	27
68	58	26
69	58	25
70	59	24
71	60	23
72	60	22
73	61	21
74	62	20
75	63	19
76	63	19
77	64	18
78	65	17
79	65	16
80	66	15
81	67	14
82	68	13
83	68	13
84	69	12
85	70	11
86	71	10
87	71	9
88	72	8
89	73	8
90	74	7
91	74	6
92	75	5
93	76	4
94	76	4
95	77	3
96	78	2
97	78	1
98	79	0
99	80	0
